"site" "y" "tr" "me" "x1" "x2" "x3" "M1" "M2"
"1" 1 1.2 1 0 -1.52 -0.79 0.46 0 0
"2" 1 -1.98 1 0 -0.49 -0.27 1.05 1 0
"3" 1 -11.12 0 0 2.45 -0.1 0.96 0 0
"4" 1 -27.76 1 1 0.33 0.86 -0.31 0 0
"5" 1 -12.8 0 0 -0.14 1.28 0.83 1 0
"6" 1 -6.62 1 0 -1.42 -0.23 2.15 0 0
"7" 1 -12.84 0 0 -0.84 0.95 0.04 1 0
"8" 1 1.33 0 0 -2.22 1.1 0.36 1 0
"9" 1 -24.5 0 0 -1.86 -1.51 -0.41 1 0
"10" 1 -2.58 1 0 1.68 0.66 0.8 0 0
"11" 1 -13.07 1 1 -0.11 1.26 -1.27 1 0
"12" 1 5.13 0 1 1.33 0.69 1.93 0 0
"13" 1 -29.81 1 1 0.4 0.67 0.18 0 0
"14" 1 -5.67 1 1 1.8 2.79 1.19 1 0
"15" 1 -5.69 1 0 -0.9 -0.31 0.55 0 1
"16" 1 -6.38 0 0 0.73 -0.55 0.69 0 0
"17" 1 4.11 1 0 2.1 -0.26 1.41 1 0
"18" 1 -0.42 0 1 0.3 1.21 0.83 0 0
"19" 1 3.21 1 0 1.22 -1.05 0.14 0 0
"20" 1 3.33 1 0 1.55 1.98 0.49 0 0
"21" 2 -18.45 0 1 -0.59 -0.9 0.66 1 1
"22" 2 10.36 1 1 2.4 -0.73 0.58 0 0
"23" 2 6.46 1 1 1.41 -1.77 -0.62 1 0
"24" 2 6.95 0 1 0.3 0.38 -0.05 1 0
"25" 2 13.65 1 0 1.95 -2.17 0.53 1 1
"26" 2 4.04 0 0 0.77 0.42 0.3 1 1
"27" 2 36.96 1 1 0.88 1.87 0.82 0 0
"28" 2 20.74 1 1 -0.7 -1.78 0.49 0 0
"29" 2 9.65 1 1 -0.85 1 -0.24 0 0
"30" 2 -6.55 0 0 -0.4 0.14 -0.22 1 0
"31" 2 2.27 0 0 1.23 0.75 -0.79 0 0
"32" 2 26.21 1 1 1.98 0.42 -0.54 0 0
"33" 2 23.07 1 0 0.1 0.24 0.77 0 0
"34" 2 22.98 1 1 -0.02 -0.97 0.66 0 0
"35" 2 26.81 1 1 0.14 -0.91 1.66 0 0
"36" 2 6.89 0 1 -0.42 -0.87 1.27 0 0
"37" 2 23.2 1 0 0.43 0.53 -0.15 0 0
